Name|Style|Prompt-Enhancement
Cinematic Glow|epic, cinematic, soft light|cinematic lighting, shallow depth of field, golden hour, film grain
Analog Dream|vintage photo style|Kodak Portra 400 style, film grain, soft tones, analog photography
Pastel Fantasy|soft colors, dreamy look|soft pastel colors, dreamy atmosphere, watercolor effect, overexposed
Neo-Tokyo|cyberpunk neon aesthetic|cyberpunk, neon lights, rain reflections, futuristic city, glowing signs
Dark Academic|moody, classical|moody lighting, oil painting, old library, vintage books, classical attire
Tech Noir|dark sci-fi atmosphere|tech-noir lighting, monochrome tones, heavy shadows, futuristic machinery
Frozen Wasteland|icy, post-apocalyptic|frozen landscape, abandoned buildings, snowstorm, cold atmosphere
Sunset Serenity|warm, peaceful nature|sunset, warm colors, golden sunlight, peaceful meadow, ambient glow
Tropical Chaos|vibrant, dynamic jungle|dense jungle, vibrant colors, dynamic motion, exotic plants
Silent Ruins|mystic, abandoned setting|ancient ruins, misty air, overgrown vegetation, moss-covered stone
Nighttime Cityscape|urban night look|night cityscape, skyline, window reflections, soft glow, starry sky
Ethereal Magic|mystical, magical glow|glowing particles, floating symbols, ethereal glow, arcane runes
Dark Spell|dark arcane energy|dark magic, glowing sigils, corrupted energy, shadowy fog
Celestial Realm|divine, heavenly|floating islands, starscape, celestial light, divine aura, halo effect
Vogue Editorial|fashion magazine style|editorial lighting, studio photo, clean background, fashion pose
Soft Angelic|gentle, ethereal portrait|angelic glow, soft backlight, gentle expression, ambient haze
Battle-Ready|dramatic, heroic|dramatic lighting, dirt on face, glowing eyes, wind-blown hair
Old Master Painting|classical oil portrait|Rembrandt lighting, dramatic chiaroscuro, 17th century oil painting
Anime Energy|dynamic, glowing action|dynamic pose, speed lines, glowing aura, action lines, energy burst
Detail+|highly detailed, sharp|highly detailed, intricate, sharp focus, ultra high resolution
Soft Focus|blurry, gentle|soft lighting, low contrast, bokeh, shallow depth of field
Contrast Punch|strong contrast, vivid|sharp lighting, deep shadows, strong contrast, vivid colors
Painterly|painted artwork look|oil painting, visible brushstrokes, painterly texture, canvas grain
Pony|Quality Prompt|score_9, score_8_up, score_7_up, score_6_up, score_5_up, score_4_up
